observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
127	2	63	Small	Small	Right	5	3	3:5	Vague	few	0	1539
128	2	64	Small	Small	Left	3	5	3:5	Crisp	three	0	1255
129	3	1	Big	Big	Right	5	9	5:9	Vague	many	0	822
130	3	2	Big	Big	Right	4	8	8:4	Vague	many	0	821
131	3	3	Big	Small	Left	2	6	2:6	Crisp	two	0	604
132	3	4	Small	Small	Left	7	9	7:9	Crisp	seven	0	1108
133	3	5	Big	Small	Right	6	2	2:6	Vague	few	0	863
134	3	6	Small	Big	Left	5	3	3:5	Crisp	five	0	811
135	3	7	Big	Small	Right	8	4	8:4	Vague	few	0	915
136	3	8	Small	Small	Left	6	8	6:8	Vague	few	0	1764
137	3	9	Big	Small	Left	4	8	8:4	Vague	few	0	673
138	3	10	Small	Small	Left	6	8	6:8	Crisp	six	0	1637
139	3	11	Big	Small	Left	2	6	2:6	Vague	few	0	598
140	3	12	Big	Big	Right	5	9	5:9	Crisp	nine	0	940
141	3	13	Big	Big	Left	9	5	5:9	Vague	many	0	893
142	3	14	Big	Small	Right	9	5	5:9	Vague	few	0	703
143	3	15	Big	Small	Right	7	3	7:3	Crisp	three	0	688
144	3	16	Big	Big	Left	8	4	8:4	Vague	many	0	666
145	3	17	Big	Small	Left	3	7	7:3	Vague	few	1	614
146	3	18	Big	Big	Right	3	7	7:3	Crisp	seven	0	NA
147	3	19	Small	Big	Right	2	4	2:4	Crisp	four	0	869
148	3	20	Small	Big	Right	7	9	7:9	Vague	many	0	1218
149	3	21	Big	Big	Left	7	3	7:3	Crisp	seven	0	680
150	3	22	Small	Small	Right	4	2	2:4	Crisp	two	0	563
151	3	23	Small	Big	Right	6	8	6:8	Crisp	eight	0	1082
152	3	24	Big	Small	Right	6	2	2:6	Crisp	two	0	575
153	3	25	Big	Big	Left	9	5	5:9	Crisp	nine	0	741
154	3	26	Small	Small	Left	2	4	2:4	Crisp	two	0	920
155	3	27	Small	Small	Left	3	5	3:5	Vague	few	0	954
156	3	28	Small	Big	Left	8	6	6:8	Crisp	eight	0	1996
157	3	29	Small	Small	Left	7	9	7:9	Vague	few	0	1175
158	3	30	Small	Small	Left	3	5	3:5	Crisp	three	0	698
159	3	31	Big	Big	Left	8	4	8:4	Crisp	eight	0	788
160	3	32	Big	Small	Left	5	9	5:9	Vague	few	0	1004
161	3	33	Big	Big	Right	4	8	8:4	Crisp	eight	0	901
162	3	34	Small	Big	Left	9	7	7:9	Crisp	nine	0	2038
163	3	35	Big	Big	Left	7	3	7:3	Vague	many	0	912
164	3	36	Big	Big	Left	6	2	2:6	Vague	many	0	619
165	3	37	Small	Big	Right	7	9	7:9	Crisp	nine	0	2499
166	3	38	Big	Small	Left	3	7	7:3	Crisp	three	0	756
167	3	39	Small	Big	Right	6	8	6:8	Vague	many	0	1308
168	3	40	Small	Small	Right	9	7	7:9	Crisp	seven	0	1994
169	3	41	Small	Big	Left	4	2	2:4	Vague	many	0	637
170	3	42	Small	Small	Right	5	3	3:5	Crisp	three	0	650
171	3	43	Big	Small	Right	9	5	5:9	Crisp	five	0	926
172	3	44	Small	Big	Left	8	6	6:8	Vague	many	0	1046
173	3	45	Small	Small	Right	8	6	6:8	Vague	few	0	1317
174	3	46	Big	Small	Left	5	9	5:9	Crisp	five	0	752
175	3	47	Big	Small	Left	4	8	8:4	Crisp	four	0	840
176	3	48	Big	Big	Left	6	2	2:6	Crisp	six	0	677
177	3	49	Small	Big	Left	9	7	7:9	Vague	many	0	880
178	3	50	Small	Small	Left	2	4	2:4	Vague	few	0	651
179	3	51	Small	Big	Right	3	5	3:5	Vague	many	0	1119
180	3	52	Small	Big	Right	2	4	2:4	Vague	many	0	771
181	3	53	Big	Small	Right	8	4	8:4	Crisp	four	0	803
182	3	54	Big	Big	Right	2	6	2:6	Vague	many	1	634
183	3	55	Small	Small	Right	5	3	3:5	Vague	few	0	977
184	3	56	Small	Big	Right	3	5	3:5	Crisp	five	0	849
185	3	57	Small	Small	Right	9	7	7:9	Vague	few	0	941
186	3	58	Small	Small	Right	8	6	6:8	Crisp	six	0	1687
187	3	59	Big	Big	Right	3	7	7:3	Vague	many	0	711
