4	25	20	P	R	20	20	819	1
6	35	25	P	L	35	20	484	0
2	25	10	P	R	10	20	317	1
7	40	25	P	L	40	20	308	1
5	25	30	V	R	many	20	452	1
7	25	40	V	R	many	20	471	1
8	45	25	V	L	many	20	352	1
2	10	25	V	L	few	20	530	1
8	25	45	V	R	many	20	541	1
5	30	25	P	L	30	20	873	0
6	25	35	V	R	many	20	376	1
3	25	15	P	R	15	20	551	1
1	25	5	P	R	5	20	338	1
8	25	45	P	R	45	20	503	1
4	20	25	P	L	20	20	404	0
2	25	10	V	R	few	20	482	1
7	40	25	V	L	many	20	471	1
3	15	25	V	L	few	20	1071	1
1	5	25	P	L	5	20	357	1
4	20	25	V	L	few	20	720	0
6	35	25	V	L	many	20	515	1
4	25	20	V	R	few	20	532	1
1	5	25	V	L	few	20	357	1
5	30	25	V	L	many	20	597	1
5	25	30	P	R	30	20	759	1
6	25	35	P	R	35	20	474	1
7	25	40	P	R	40	20	655	1
