"Subject" "Item" "vagueness" "selection" "RT"
"330" 10 2 "crisp" "matching" 8359
"331" 10 3 "vague" "comparison" 3787
"332" 10 4 "vague" "comparison" 4717
"333" 10 1 "vague" "comparison" 1534
"334" 10 2 "vague" "matching" 3681
"335" 10 3 "crisp" "matching" 10253
"336" 10 4 "vague" "matching" 3272
"337" 10 1 "vague" "comparison" 1267
"338" 10 2 "vague" "comparison" 4533
"339" 10 3 "vague" "comparison" 1349
"340" 10 4 "vague" "comparison" 1864
"341" 10 1 "crisp" "matching" 5780
"342" 10 2 "vague" "matching" 5115
"343" 10 3 "crisp" "comparison" 2570
"344" 10 4 "vague" "matching" 6017
"345" 10 1 "crisp" "matching" 5538
"346" 10 2 "crisp" "comparison" 3388
"347" 10 3 "vague" "comparison" 2213
"348" 10 4 "vague" "matching" 4035
"349" 10 1 "vague" "comparison" 1306
"350" 10 2 "vague" "comparison" 1300
"351" 10 3 "crisp" "comparison" 5455
"352" 10 4 "crisp" "matching" 3306
"353" 10 1 "crisp" "matching" 1331
"354" 10 2 "crisp" "comparison" 1207
"355" 10 3 "crisp" "comparison" 1422
"356" 10 4 "crisp" "matching" 5120
"357" 10 1 "vague" "matching" 21566
"358" 10 2 "crisp" "comparison" 4773
"359" 10 3 "crisp" "matching" 8334
"360" 10 4 "crisp" "comparison" 3338
"361" 10 1 "vague" "matching" 16048
"362" 10 2 "crisp" "matching" 8697
"363" 10 3 "crisp" "comparison" 1751
"364" 10 4 "crisp" "comparison" 2482
"365" 10 1 "vague" "matching" 10929
"366" 10 2 "crisp" "matching" 6228
"367" 10 3 "vague" "comparison" 1593
"368" 10 4 "crisp" "comparison" 1691
"369" 10 1 "crisp" "comparison" 1553
"370" 10 2 "vague" "comparison" 2495
"371" 10 3 "crisp" "matching" 7969
"372" 10 4 "vague" "comparison" 2359
"373" 10 1 "vague" "matching" 6872
"374" 10 2 "vague" "matching" 3449
"375" 10 3 "vague" "matching" 2438
"376" 10 4 "crisp" "matching" 5766
"377" 10 1 "crisp" "comparison" 1254
"378" 10 2 "crisp" "matching" 8446
"379" 10 3 "crisp" "matching" 7942
"380" 10 4 "crisp" "matching" 3541
"381" 10 1 "crisp" "comparison" 3080
"382" 10 2 "vague" "comparison" 1376
"383" 10 3 "vague" "matching" 2567
"384" 10 4 "vague" "matching" 4723
"385" 11 1 "crisp" "comparison" 2741
"386" 11 2 "crisp" "comparison" 2708
"387" 11 3 "vague" "matching" 2430
"388" 11 4 "vague" "matching" 2246
"389" 11 1 "crisp" "comparison" 1635
"390" 11 2 "crisp" "comparison" 1617
"391" 11 3 "vague" "comparison" 1719
"392" 11 4 "vague" "matching" 1889
"393" 11 1 "vague" "comparison" 1416
"394" 11 2 "crisp" "matching" 1487
"395" 11 3 "crisp" "matching" 1984
"396" 11 4 "crisp" "matching" 6766
"397" 11 1 "crisp" "comparison" 3247
"398" 11 2 "crisp" "matching" 2472
"399" 11 3 "crisp" "matching" 8543
"400" 11 4 "crisp" "matching" 2593
"401" 11 1 "vague" "comparison" 2963
"402" 11 2 "vague" "comparison" 2754
"403" 11 3 "crisp" "comparison" 1793
"404" 11 4 "crisp" "comparison" 4543
"405" 11 1 "vague" "comparison" 1621
"406" 11 2 "crisp" "matching" 2265
"407" 11 3 "crisp" "comparison" 3045
"408" 11 4 "crisp" "matching" 1731
"409" 11 1 "crisp" "matching" 1797
"410" 11 2 "vague" "matching" 3401
"411" 11 3 "vague" "matching" 1728
"412" 11 4 "crisp" "comparison" 2076
"413" 11 1 "vague" "matching" 3202
"414" 11 2 "vague" "comparison" 1334
"415" 11 3 "crisp" "comparison" 1710
"416" 11 4 "vague" "comparison" 1473
"417" 11 1 "crisp" "comparison" 2178
"418" 11 2 "vague" "matching" 2142
"419" 11 3 "vague" "comparison" 2954
"420" 11 4 "vague" "comparison" 2977
"421" 11 1 "vague" "matching" 2432
"422" 11 2 "vague" "comparison" 1540
"423" 11 3 "vague" "comparison" 3482
"424" 11 4 "vague" "matching" 3564
"425" 11 1 "vague" "matching" 3162
"426" 11 2 "vague" "comparison" 2461
"427" 11 3 "crisp" "matching" 2509
"428" 11 4 "vague" "matching" 2337
"429" 11 1 "crisp" "matching" 3662
"430" 11 2 "vague" "matching" 7412
"431" 11 3 "crisp" "matching" 4264
"432" 11 4 "crisp" "matching" 1925
"433" 11 1 "vague" "comparison" 2303
"434" 11 2 "crisp" "matching" 2759
"435" 11 3 "vague" "matching" 4751
"436" 11 4 "crisp" "comparison" 1407
"437" 11 1 "crisp" "matching" 2309
"438" 11 2 "crisp" "comparison" 1926
"439" 11 3 "vague" "matching" 7831
"440" 11 4 "vague" "comparison" 2844
"441" 11 1 "crisp" "matching" 4836
"442" 11 2 "vague" "matching" 4955
"443" 11 3 "vague" "comparison" 1694
"444" 11 4 "crisp" "comparison" 3519
"445" 11 1 "vague" "matching" 5311
"446" 11 2 "crisp" "comparison" 2270
"447" 11 3 "crisp" "comparison" 1404
"448" 11 4 "vague" "comparison" 2484
"449" 11 1 "crisp" "matching" 2768
"450" 11 2 "vague" "comparison" 2192
"451" 11 3 "crisp" "matching" 1942
"452" 11 4 "crisp" "matching" 2922
"453" 11 1 "vague" "matching" 2930
"454" 11 2 "vague" "comparison" 1640
"455" 11 3 "crisp" "comparison" 2008
"456" 11 4 "crisp" "matching" 4250
"457" 11 1 "crisp" "comparison" 1711
"458" 11 2 "vague" "matching" 5808
"459" 11 3 "vague" "comparison" 2299
"460" 11 4 "crisp" "comparison" 1286
"461" 11 1 "crisp" "comparison" 2285
"462" 11 2 "crisp" "matching" 1790
"463" 11 3 "crisp" "matching" 3049
"464" 11 4 "vague" "matching" 4877
"465" 11 1 "vague" "matching" 3342
"466" 11 2 "crisp" "comparison" 2135
"467" 11 3 "crisp" "comparison" 2650
