2	25	10	P	R	10	6	388	1
1	25	5	P	R	5	6	330	1
5	25	30	V	R	many	6	428	1
2	10	25	V	L	few	6	498	1
5	30	25	P	L	30	6	391	1
7	40	25	P	L	40	6	357	1
5	25	30	P	R	30	6	1031	1
6	25	35	V	R	many	6	635	1
4	20	25	V	L	few	6	574	1
5	30	25	V	L	many	6	1094	1
3	15	25	V	L	few	6	383	1
3	25	15	P	R	15	6	751	1
7	25	40	P	R	40	6	476	1
3	25	15	V	R	few	6	492	1
6	25	35	P	R	35	6	418	1
8	45	25	P	L	45	6	389	1
7	25	40	V	R	many	6	1443	1
8	25	45	V	R	many	6	442	1
1	5	25	V	L	few	6	378	1
8	25	45	P	R	45	6	399	1
6	35	25	P	L	35	6	360	1
5	30	25	V	L	many	6	576	1
1	25	5	P	R	5	6	290	1
1	25	5	V	R	few	6	454	1
5	25	30	P	R	30	6	1450	1
2	25	10	P	R	10	6	359	1
4	25	20	P	R	20	6	445	1
4	25	20	V	R	few	6	773	1
3	25	15	P	R	15	6	645	1
3	15	25	P	L	15	6	564	1
8	45	25	P	L	45	6	296	1
3	25	15	V	R	few	6	518	1
6	25	35	P	R	35	6	675	1
7	25	40	P	R	40	6	362	1
8	45	25	V	L	many	6	346	1
5	30	25	P	L	30	6	394	1
2	25	10	V	R	few	6	314	1
7	40	25	V	L	many	6	268	1
4	20	25	V	L	few	6	934	1
1	5	25	P	L	5	6	365	1
3	15	25	V	L	few	6	637	1
6	25	35	V	R	many	6	370	1
5	25	30	V	R	many	6	815	0
2	10	25	V	L	few	6	461	1
4	20	25	P	L	20	6	916	1
6	35	25	V	L	many	6	1466	0
7	40	25	P	L	40	6	350	1
2	10	25	P	L	10	6	322	1
2	10	25	P	L	10	6	299	1
1	5	25	P	L	5	6	413	1
4	20	25	V	L	few	6	980	1
3	25	15	P	R	15	6	546	1
2	25	10	P	R	10	6	362	1
7	25	40	V	R	many	6	371	1
2	10	25	V	L	few	6	669	1
7	25	40	P	R	40	6	415	1
3	15	25	V	L	few	6	432	1
1	25	5	V	R	few	6	325	1
3	15	25	P	L	15	6	303	0
8	45	25	V	L	many	6	1140	1
3	25	15	V	R	few	6	556	1
5	25	30	P	R	30	6	1574	1
4	25	20	V	R	few	6	572	1
7	40	25	P	L	40	6	619	1
6	25	35	P	R	35	6	386	1
5	30	25	V	L	many	6	549	0
7	40	25	V	L	many	6	427	1
2	25	10	V	R	few	6	277	1
1	5	25	V	L	few	6	444	0
4	20	25	P	L	20	6	859	0
4	25	20	P	R	20	6	574	0
8	25	45	P	R	45	6	312	1
8	45	25	P	L	45	6	454	1
8	25	45	V	R	many	6	452	1
5	30	25	P	L	30	6	477	1
5	25	30	V	R	many	6	807	0
6	35	25	P	L	35	6	537	1
6	25	35	V	R	many	6	861	1
1	25	5	P	R	5	6	325	1
6	35	25	V	L	many	6	375	1
