"Subject" "Item" "id" "Trial" "Vagueness" "Selection" "Order" "Quantity" "Instruction" "nchar_instr" "RT" "RT_raw" "RT_log" "RTprev_log" "RTprev_raw" "rt_instr" "response_cat"
"45" "s01" "06:15:24" "s01:t045" 45 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 10 dots'" 40 1111 1111 7.01301578963963 6.8351845861473 930 862 "Expected"
"46" "s01" "16:25:34" "s01:t046" 46 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 20 dots'" 44 643 643 6.46614472423762 7.01301578963963 1111 1166 "Expected"
"47" "s01" "26:35:44" "s01:t047" 47 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 40 dots'" 41 665 665 6.49978704065585 6.46614472423762 643 707 "Expected"
"48" "s01" "36:45:54" "s01:t048" 48 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 50 dots'" 45 737 737 6.60258789218934 6.49978704065585 665 832 "Expected"
"49" "s01" "06:15:24" "s01:t049" 49 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 10 dots'" 36 695 695 6.54391184556479 6.60258789218934 737 623 "Expected"
"50" "s01" "16:25:34" "s01:t050" 50 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 30 dots'" 41 814 814 6.70196036600254 6.54391184556479 695 830 "Expected"
"51" "s01" "26:35:44" "s01:t051" 51 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 30 dots'" 36 1395 1395 7.24064969425547 6.70196036600254 814 578 "Far"
"52" "s01" "36:45:54" "s01:t052" 52 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 40 dots'" 36 683 683 6.52649485957079 7.24064969425547 1395 585 "Far"
"53" "s01" "06:15:24" "s01:t053" 53 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 6 dots'" 29 710 710 6.56526497003536 6.52649485957079 683 538 "Expected"
"54" "s01" "16:25:34" "s01:t054" 54 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 20 dots'" 36 1994 1994 7.59789795052178 6.56526497003536 710 691 "Near"
"55" "s01" "26:35:44" "s01:t055" 55 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 40 dots'" 45 887 887 6.78784498230958 7.59789795052178 1994 681 "Expected"
"56" "s01" "36:45:54" "s01:t056" 56 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 50 dots'" 41 1080 1080 6.98471632011827 6.78784498230958 887 624 "Expected"
"57" "s01" "06:15:24" "s01:t057" 57 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 20 dots'" 36 1309 1309 7.1770187659099 6.98471632011827 1080 560 "Expected"
"58" "s01" "16:25:34" "s01:t058" 58 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 20 dots'" 36 1454 1454 7.28207365809346 7.1770187659099 1309 587 "Near"
"59" "s01" "26:35:44" "s01:t059" 59 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 44 dots'" 30 1252 1252 7.13249755166004 7.28207365809346 1454 553 "Expected"
"60" "s01" "36:45:54" "s01:t060" 60 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 40 dots'" 36 837 837 6.72982407048948 7.13249755166004 1252 687 "Far"
"61" "s01" "06:15:24" "s01:t061" 61 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 10 dots'" 40 769 769 6.64509096950564 6.72982407048948 837 798 "Expected"
"62" "s01" "16:25:34" "s01:t062" 62 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 30 dots'" 36 976 976 6.88346258641309 6.64509096950564 769 758 "Expected"
"63" "s01" "26:35:44" "s01:t063" 63 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 44 dots'" 30 706 706 6.55961523749324 6.88346258641309 976 728 "Expected"
"64" "s01" "36:45:54" "s01:t064" 64 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 40 dots'" 40 715 715 6.57228254269401 6.55961523749324 706 560 "Expected"
"65" "s01" "06:15:24" "s01:t065" 65 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 20 dots'" 45 676 676 6.51619307604296 6.57228254269401 715 1233 "Expected"
